Gene,logFC,logCPM,LR,PValue,FDR
ENSMUSG00000056888,0.45907045139861,6.06911181375301,14.1035822574454,0.000173013971455966,0.000553951607056353
ENSMUSG00000015377,0.661917580917963,2.23810614142307,14.1015681287246,0.000173199330083008,0.000554408495999698
ENSMUSG00000069255,-0.483263581458075,4.10879617264608,14.0967063553613,0.000173647579649784,0.000555706462725582
ENSMUSG00000036667,0.444191743681953,5.5150648450518,14.0959220918085,0.000173719997157484,0.000555801349842113
ENSMUSG00000021417,-0.387703967868374,6.87980764768627,14.0813847431336,0.00017506787153594,0.000559975894285277
ENSMUSG00000019897,0.399255078938441,4.91791967922907,14.0572238500253,0.000177331364685753,0.000567076381755917
ENSMUSG00000052139,-0.345194070105878,5.2294756975289,14.055936423733,0.00017745280000484,0.000567325114111414
ENSMUSG00000085396,0.423196659470789,4.53508875445122,14.0520370958859,0.000177821111842478,0.000568362806075959
ENSMUSG00000017288,-0.317182110935016,5.56016670555954,14.0469485603974,0.000178302908831177,0.000569762626793699
ENSMUSG00000023274,1.65808959384774,0.108381946351698,14.0360567599611,0.000179338599367255,0.000572931277624592
ENSMUSG00000026755,-0.355648345004033,5.41753574236072,14.0332686129453,0.000179604694240235,0.000573600221541231
ENSMUSG00000063760,0.675474481589968,4.79592829195806,14.0329380886882,0.000179636265133334,0.000573600221541231
ENSMUSG00000028383,-0.426939539777854,5.76791108260066,14.0205916138976,0.000180819584011479,0.000577236873940846
ENSMUSG00000030213,-0.3751539649464,6.67903400536688,14.0170800238621,0.000181157576029556,0.000578173835481363
ENSMUSG00000026974,-0.470649478453959,4.76841476155583,14.0073662709465,0.000182095847462805,0.000581025689571965
ENSMUSG00000018868,-0.513953605620129,4.41648920511886,14.0055993773243,0.000182267040792133,0.00058142917578168
ENSMUSG00000027165,-0.65729224651433,2.78058133400297,14.0022415080229,0.000182592829786339,0.000582325500835155
ENSMUSG00000046567,-0.541684930311503,3.2716388487474,13.9989786361971,0.000182909963787216,0.000583193790328426
ENSMUSG00000020844,-0.994692190717593,1.54199577694729,13.9984811087941,0.000182958369563342,0.000583205045583808
ENSMUSG00000068270,1.22261625527048,0.694056875299993,13.9962827891948,0.0001831724044887,0.000583744131617251
ENSMUSG00000041355,-0.393918463389229,6.17133014968347,13.9949724293836,0.000183300104968689,0.00058400788530843
ENSMUSG00000026925,0.316382935684986,5.59451987326732,13.9926396349462,0.000183527668293376,0.000584589602240372
ENSMUSG00000032350,0.562379384887952,5.93082634962648,13.967234648379,0.000186024418125889,0.000592397289381049
ENSMUSG00000078624,0.537614666621423,3.85682981581549,13.9552562590718,0.000187213471172488,0.000596037793081247
ENSMUSG00000034333,-0.556639164610603,3.9110392195244,13.9469769530089,0.000188039800942319,0.000598521982132348
ENSMUSG00000021236,-0.354280276587259,4.63446934478283,13.9387330648467,0.000188866246332943,0.000601005322561932
ENSMUSG00000037361,-0.318616011007981,5.43552282242035,13.9347333781239,0.000189268530060569,0.000602138021215949
ENSMUSG00000039976,0.52081302936942,4.63452381449464,13.922087731516,0.000190546101641875,0.000606054120640678
ENSMUSG00000096935,0.900412204430994,2.64088371856382,13.9207455197194,0.000190682212321015,0.000606338642359656
ENSMUSG00000030647,-0.378051152826688,5.42386608788299,13.9195410510335,0.000190804438159745,0.000606578884130148
ENSMUSG00000024382,-0.34741729159908,5.53636775881931,13.8879254623302,0.000194041071862766,0.000616691814340284
ENSMUSG00000035007,0.430178258528152,4.90148487386036,13.8875441000868,0.000194080449419187,0.000616691814340284
ENSMUSG00000020277,-0.865774115173857,5.95838554277652,13.8839881273767,0.000194448009068489,0.000617708708348591
ENSMUSG00000029405,0.297744340295046,7.46225885718081,13.8817951531664,0.000194675033204901,0.000618278771146358
ENSMUSG00000014313,-0.320382941920557,6.42631530862736,13.8709474789343,0.000195801954577494,0.000621705888514321
ENSMUSG00000031631,-0.449220498899682,4.46912821959112,13.8623363369484,0.000196701208877714,0.000624408624957199
ENSMUSG00000002845,0.525533146308863,4.57762388818888,13.8612346575351,0.000196816556127398,0.000624622213292225
ENSMUSG00000041380,-0.602916291998458,5.83790250472937,13.8518030779598,0.0001978068476376,0.000627611765600158
ENSMUSG00000024683,-0.444637838451249,4.46500571812972,13.8505276563829,0.000197941148355334,0.000627884589706106
ENSMUSG00000033788,0.670422291696227,4.63380576554642,13.8468111175629,0.000198333020541597,0.00062897411785227
ENSMUSG00000035237,1.42588219449781,0.417124651380053,13.8427521327134,0.000198761893235788,0.00063018042558973
ENSMUSG00000031227,0.395072866640383,4.24773983982167,13.8417616918173,0.000198866685032249,0.000630358887482709
ENSMUSG00000021488,0.31636664740823,7.53971975677884,13.8374310492262,0.000199325534917268,0.000631659266467889
ENSMUSG00000086507,0.642448196576205,3.88634589591525,13.830331472236,0.000200080073816742,0.0006338958165096
ENSMUSG00000100113,0.637507216877972,5.23307793110395,13.8296592276132,0.000200151668546731,0.000633968092720769
ENSMUSG00000030204,0.302249679981898,5.75536691873003,13.8281806657262,0.000200309227701162,0.000634312554387012
ENSMUSG00000027495,0.583237182744522,3.45424938779289,13.8244614939132,0.000200706104385863,0.000635414502460092
